feature,regime,N,hit_rate,positive_signal_precision,positive_signal_coverage,sharpe_long_only,mean_actual_forward_return,mean_long_only_return
origin_vix_market,"(13.469000000000001, 15.86]",6085,0.5378800328677075,0.5215490318550906,0.7893179950698439,0.7480766206214543,0.0022224737775816033,0.0030438552076543566
origin_vix_market,"(15.86, 17.16]",6059,0.5005776530780657,0.5162708883025505,0.7506189140122133,0.09454942133126484,0.0007027976016561815,0.00042387022703027036
origin_vix_market,"(17.16, 19.09]",5975,0.5215062761506276,0.5284174941897317,0.7921338912133892,0.851739094598673,0.002769485849571859,0.0034805879437333695
origin_vix_market,"(19.09, 31.05]",6006,0.6605061605061605,0.6743295019157088,0.6953046953046953,1.5434177933454931,0.00534405412795196,0.00652763720483687
origin_vix_change_1d,"(-5.361000000000001, -0.7]",6190,0.5468497576736672,0.5362051282051282,0.7875605815831987,0.430343884596696,0.0014582008210638773,0.0018096206881697248
origin_vix_change_1d,"(-0.7, -0.12]",5996,0.5453635757171448,0.5605329657707329,0.7259839893262174,1.1120560832571869,0.003626681950586565,0.004196003154480744
origin_vix_change_1d,"(-0.12, 0.7]",5959,0.5541198187615372,0.5628238341968912,0.7773116294680316,0.6851578033768069,0.002769623549348868,0.0033038781170423013
origin_vix_change_1d,"(0.7, 6.11]",5980,0.5739130434782609,0.5702272727272727,0.7357859531772575,1.0337997202818516,0.0032023471337822465,0.004187791636574929
origin_vix_change_5d,"(-10.071, -1.42]",6043,0.5409564785702465,0.5092767890950397,0.8740691709415853,0.6657908949682095,0.0018610074652179506,0.0031303291521895004
origin_vix_change_5d,"(-1.42, 0.07]",6043,0.5138176402449115,0.5377314814814815,0.7148767168624856,0.2860587115626537,0.0016718712131183224,0.0012074757287862225
origin_vix_change_5d,"(0.07, 1.16]",6017,0.5304969253780953,0.5144830659536542,0.7458866544789763,0.5084750799355116,0.0007173853976257218,0.0021048414459970324
origin_vix_change_5d,"(1.16, 9.63]",6022,0.6348389239455331,0.6829736211031175,0.6924609764197941,1.8628962943576508,0.006768578023578566,0.007009864627019239
origin_vix_change_20d,"(-13.030999999999999, -2.1]",6043,0.5434386893926858,0.5466556564822461,0.8015886149263611,0.9947948531009189,0.0037850302954020643,0.0043032740361056265
origin_vix_change_20d,"(-2.1, -0.06]",6043,0.542611285785206,0.5277713758930629,0.7180208505709085,0.7385146006354832,0.0009560062751664186,0.002677474596902074
origin_vix_change_20d,"(-0.06, 2.15]",6012,0.5217897538256819,0.5558232931726907,0.8283433133732535,0.8213121044796281,0.005490475648287761,0.0038279349068970885
origin_vix_change_20d,"(2.15, 11.19]",6027,0.6120789779326364,0.6014156700024408,0.6797743487638958,0.6211918093106723,0.0007909817579623079,0.002637030365136793
origin_vix_pct_change_1d,"(-0.185, -0.0411]",6085,0.5390304026294166,0.538541020872081,0.7952341824157765,0.4053044581811344,0.001802826305597509,0.00169532950776115
origin_vix_pct_change_1d,"(-0.0411, -0.00642]",5996,0.5538692461641094,0.5591594335312928,0.7301534356237491,1.147863954346179,0.003542384921686759,0.004396073202248724
origin_vix_pct_change_1d,"(-0.00642, 0.0433]",6064,0.5509564643799473,0.5558683412732784,0.7615435356200527,0.590284263402259,0.0020421374850362935,0.0027930914709210384
origin_vix_pct_change_1d,"(0.0433, 0.397]",5980,0.5764214046822742,0.576045197740113,0.7399665551839465,1.1175452495023153,0.0036508713845209797,0.004595208863734977
origin_vix_pct_change_5d,"(-0.382, -0.078]",6043,0.5290418666225385,0.49435190503542026,0.8643058083733245,0.5393148983966881,0.0012622071968801775,0.0025151666490356266
origin_vix_pct_change_5d,"(-0.078, 0.00389]",6043,0.5257322521926195,0.5551495775291162,0.7246400794307463,0.4271667995450449,0.002270671481456095,0.0018226382319400955
origin_vix_pct_change_5d,"(0.00389, 0.0721]",6101,0.5248319947549582,0.5020463847203275,0.7208654318964104,0.34321619730821384,-6.390789489643659e-05,0.0013947370886661745
origin_vix_pct_change_5d,"(0.0721, 0.54]",5938,0.6421353991242843,0.6922535211267605,0.7174132704614348,2.0447702403419545,0.007656919309913649,0.0078088489030854955
origin_vix_pct_change_20d,"(-0.437, -0.117]",6043,0.5434386893926858,0.5466556564822461,0.8015886149263611,0.9947948531009189,0.0037850302954020643,0.0043032740361056265
origin_vix_pct_change_20d,"(-0.117, -0.00367]",6043,0.542611285785206,0.5277713758930629,0.7180208505709085,0.7385146006354832,0.0009560062751664186,0.002677474596902074
origin_vix_pct_change_20d,"(-0.00367, 0.139]",6012,0.5339321357285429,0.5629691409507923,0.7977378576180971,1.2095568174424314,0.005981808840960899,0.004994587955734551
origin_vix_pct_change_20d,"(0.139, 0.612]",6027,0.5999668159946906,0.5914505956552207,0.7103036336485814,0.31009687795010993,0.00030087139553474707,0.0014732808828718472
origin_vix_distance_ma20,"(-0.255, -0.075]",6106,0.5619063216508352,0.5759982825246887,0.7628562070094989,1.374860658460724,0.004784960829947089,0.005261197646856968
origin_vix_distance_ma20,"(-0.075, -0.00956]",5964,0.5298457411133467,0.5086345381526104,0.8350100603621731,0.583828729904318,0.0009379869721538075,0.0024848660643754673
origin_vix_distance_ma20,"(-0.00956, 0.0653]",6059,0.4956263409803598,0.49102049440101414,0.7811520052813996,-0.049232073399010895,-0.00031399197732634475,-0.0002342857408354305
origin_vix_distance_ma20,"(0.0653, 0.447]",5996,0.6329219479653102,0.6762663923887889,0.6485990660440294,1.4946554456398937,0.005589963794150814,0.005931706791909312
origin_vix_trend_ma,"(-0.224, -0.0612]",6069,0.586422804415884,0.6187388193202147,0.7368594496622178,1.5957980067931268,0.005472025214213571,0.00639460125082348
origin_vix_trend_ma,"(-0.0612, -0.000928]",6064,0.5194591029023746,0.48571983679813485,0.8487796833773087,0.6654993078363756,0.0011672094115680078,0.0025026137764911577
origin_vix_trend_ma,"(-0.000928, 0.0569]",6033,0.49759655229570693,0.5081967213114754,0.7381070777391016,-0.02910720482365788,0.00045249343019475384,-0.00012419013504605373
origin_vix_trend_ma,"(0.0569, 0.24]",5959,0.6172176539687867,0.6303724928366762,0.7028024836381943,0.9782081165171808,0.003928259588440122,0.004674634135434311
origin_vix_percentile_252,"(0.0029699999999999996, 0.262]",6190,0.5347334410339257,0.5135646687697161,0.7681744749596123,0.6501057252414213,0.001146960919343014,0.0025350615662183703
origin_vix_percentile_252,"(0.262, 0.504]",6227,0.49959852256303194,0.5158417891903085,0.7754938172474707,0.15926300701036253,0.0013549032474238238,0.000733165176762618
origin_vix_percentile_252,"(0.504, 0.71]",5786,0.5338748703767715,0.5564844103027564,0.7649498790183201,1.0238387685195571,0.003920975276327287,0.0042384915305531436
origin_vix_percentile_252,"(0.71, 0.968]",5922,0.6550151975683891,0.6527058823529411,0.7176629517055049,1.4575519407367825,0.0047623500654203135,0.006131413038473027
origin_spy_return_5d,"(-0.0392, -0.00878]",6085,0.619063270336894,0.6290793960058451,0.6747740345110929,1.309380049359496,0.004041669509415953,0.005318140327357716
origin_spy_return_5d,"(-0.00878, 0.00356]",6075,0.5326748971193416,0.5711003905352631,0.7165432098765432,0.704570908380235,0.0038308006199413557,0.002891896252424472
origin_spy_return_5d,"(0.00356, 0.0121]",5964,0.5516431924882629,0.5554338299737073,0.7652582159624414,1.034564887529539,0.0035979418423549296,0.004244431963590883
origin_spy_return_5d,"(0.0121, 0.0553]",6001,0.5159140143309449,0.48997517662784035,0.8726878853524412,0.21135543670887097,-0.0004828740593325142,0.0009746116987008651
origin_spy_return_20d,"(-0.0803, -0.00336]",6085,0.5955628594905505,0.5560334528076464,0.6877567789646672,0.7695664044400988,0.0014659086516072349,0.0032737311595872564
origin_spy_return_20d,"(-0.00336, 0.0113]",6038,0.6003643590592912,0.6136991709435452,0.8390195428949984,1.0011402849960964,0.004340362688364066,0.004994051814408663
origin_spy_return_20d,"(0.0113, 0.0317]",6038,0.5140775091089764,0.553218079566757,0.7951308380258364,0.8631948500534982,0.004722348067872758,0.003385245726721438
origin_spy_return_20d,"(0.0317, 0.128]",5964,0.5090543259557344,0.4938212927756654,0.7055667337357479,0.4900064832663401,0.000467030341633505,0.0017734302482860964
origin_spy_return_60d,"(-0.078, 0.0198]",6048,0.6326058201058201,0.5917493237150586,0.7334656084656085,0.7361867829289723,0.0013680310889801377,0.003511872025155722
origin_spy_return_60d,"(0.0198, 0.0418]",6033,0.588927565058843,0.6356319338699151,0.7619757997679429,1.6492999446297265,0.008288280587279805,0.007484731429848016
origin_spy_return_60d,"(0.0418, 0.0709]",6059,0.5208780326786598,0.5327441649671425,0.7283380095725367,0.9132319359800456,0.002919314587219371,0.0033028569202804936
origin_spy_return_60d,"(0.0709, 0.162]",5985,0.476858813700919,0.47195679268799334,0.804344193817878,-0.23341056829179174,-0.0015938354627373285,-0.0008881547442245804
origin_spy_return_120d,"(-0.06, 0.0691]",6122,0.6426004573668735,0.6498478701825557,0.644233910486769,1.6105542336683702,0.005723687034218431,0.006923196827357728
origin_spy_return_120d,"(0.0691, 0.1]",6033,0.5905851151997348,0.5956273764258555,0.8718713741090668,0.9916288332431489,0.004545690525954424,0.005075352202899183
origin_spy_return_120d,"(0.1, 0.134]",6006,0.5073260073260073,0.491921768707483,0.7832167832167832,0.4235555058374367,0.000528320649045189,0.0017061186960038064
origin_spy_return_120d,"(0.134, 0.342]",5964,0.47702883970489607,0.4963235294117647,0.7297116029510395,-0.11460297022661753,0.00013219548356078277,-0.0003619666407047878
origin_spy_distance_sma50,"(-0.0693, 0.00286]",6080,0.6511513157894737,0.6569489821563207,0.6544407894736842,1.653905326680133,0.005968153805098317,0.007162406923135355
origin_spy_distance_sma50,"(0.00286, 0.0168]",6054,0.5706970597951767,0.5746196803389177,0.8577799801783944,0.8862578210354042,0.0030632875368569647,0.003908288360145908
origin_spy_distance_sma50,"(0.0168, 0.0314]",6006,0.4801864801864802,0.4877294287481955,0.8073593073593074,-0.035664917385820866,0.0003307913585887928,-0.00015261139595981393
origin_spy_distance_sma50,"(0.0314, 0.0861]",5985,0.5164578111946533,0.5206416607690493,0.7082706766917293,0.6489696198148339,0.0016053166024855594,0.0024728425863590033
origin_spy_distance_sma200,"(-0.0461, 0.0643]",6101,0.6351417800360597,0.6259259259259259,0.6638256023602688,1.463138198140833,0.004899810552271396,0.006278831526742794
origin_spy_distance_sma200,"(0.0643, 0.0865]",6054,0.5148662041625371,0.5184800664451827,0.7955071027419888,0.3327355821428737,0.001794173270240328,0.0015173021023017076
origin_spy_distance_sma200,"(0.0865, 0.101]",5943,0.596668349318526,0.6134858518964479,0.8384654215042907,1.0436994535670368,0.0037838813113917095,0.004826542592857964
origin_spy_distance_sma200,"(0.101, 0.13]",6027,0.4730379956860793,0.47177510768533215,0.731873237099718,0.24990996229300547,0.0005280894072750171,0.0008154222596421238
origin_spy_trend_ma50_200,"(0.0115, 0.0452]",6090,0.631855500821018,0.6427539720751083,0.6821018062397373,1.6573354427010276,0.0044388694694042115,0.006926140561741674
origin_spy_trend_ma50_200,"(0.0452, 0.0634]",6022,0.4915310528063766,0.43909348441926344,0.762039189637994,-0.5291937077459354,-0.0031085091011145843,-0.002064388378855926
