feature,importance
origin_spy_volatility_60d,0.21057224098963606
origin_spy_distance_sma50,0.1830263936043746
origin_spy_return_60d,0.16646912904858777
origin_spy_distance_sma200,0.09492465220313914
origin_spy_trend_ma50_200,0.08711626516281357
origin_spy_return_5d,0.0642678717069552
origin_market_breadth_above_sma200,0.048151077367643076
origin_spy_vol_change_20d,0.032619032078458315
origin_spy_return_120d,0.0273568483038317
origin_vix_pct_change_5d,0.02448757668670037
origin_spy_volatility_20d,0.013062480393613957
origin_market_breadth_20d,0.011324545319511452
origin_market_breadth_252d,0.006968558877625248
origin_vix_trend_ma,0.006746894779934757
origin_vix_pct_change_20d,0.006155613125958814
origin_cross_asset_return_20d_dispersion,0.006122169374665328
origin_spy_return_20d,0.005097449038205686
origin_vix_change_1d,0.0033767864192897385
origin_vix_distance_ma20,0.0012562763166985619
origin_vix_percentile_252,0.0008981392023565285
