iter	Logloss
0	0.6904480428
1	0.6883704634
2	0.6859873532
3	0.6845227521
4	0.6833709573
5	0.6819326875
6	0.6801284467
7	0.6788674144
8	0.6774033387
9	0.6765233119
10	0.6758426917
11	0.6747587273
12	0.674124072
13	0.6732661539
14	0.6720257695
15	0.6717581225
16	0.6708878775
17	0.6706255578
18	0.6698348936
19	0.6690702277
20	0.6680941573
21	0.6673554522
22	0.6667355306
23	0.6660207205
24	0.6652348788
25	0.6645673892
26	0.6639157418
27	0.663253214
28	0.6625001427
29	0.6621052026
30	0.6617424865
31	0.6615869327
32	0.6610673941
33	0.6604247074
34	0.6600879993
35	0.6597084397
36	0.6595154613
37	0.6589774342
38	0.6581517024
39	0.6578388743
40	0.6571755093
41	0.6569609373
42	0.6563313752
43	0.6560808187
44	0.655628336
45	0.6552039085
46	0.6550844445
47	0.6544801484
48	0.6544066326
49	0.6537894911
50	0.6531903158
51	0.6529704281
52	0.6527472122
53	0.6525229638
54	0.6523120177
55	0.6519492493
56	0.6512583102
57	0.6508324984
58	0.65070034
59	0.650209883
60	0.6497973115
61	0.6495770039
62	0.64936718
63	0.6489376308
64	0.648773688
65	0.6486654208
66	0.6484644491
67	0.6479675475
68	0.6478242268
69	0.6477546113
70	0.647543664
71	0.6468950538
72	0.6464291973
73	0.6460036171
74	0.6458833003
75	0.6453485402
76	0.6451405964
77	0.6448477793
78	0.6441906142
79	0.6439709449
80	0.6437624014
81	0.6431647788
82	0.6424098499
83	0.6420440359
84	0.6418147308
85	0.6416281428
86	0.6414274031
87	0.640665735
88	0.6402243312
89	0.6399950634
90	0.6397961701
91	0.6394897253
92	0.6389517636
93	0.6386248133
94	0.6382121333
95	0.6380352012
96	0.6379533815
97	0.6374982119
98	0.6371620576
99	0.6369880986
100	0.6364573008
101	0.6360354749
102	0.6357769943
103	0.635500877
104	0.6351959598
105	0.6348979306
106	0.634719687
107	0.6344874132
108	0.6341615603
109	0.6340425575
110	0.6338395341
111	0.6335581765
112	0.6333532533
113	0.6330658354
114	0.6329714045
115	0.6327648447
116	0.6324069184
117	0.63189174
118	0.6312213312
119	0.6309648149
120	0.6304289149
121	0.6300662673
122	0.629695688
123	0.6294303991
124	0.6288294194
125	0.6281861307
126	0.6278478929
127	0.627450336
128	0.6271751378
129	0.6266899309
130	0.6264954027
131	0.6260761434
132	0.6252090962
133	0.6249314535
134	0.6245507561
135	0.6244209971
136	0.6242299029
137	0.6239682751
138	0.6237346627
139	0.6234696259
140	0.6232694659
141	0.6228531992
142	0.62264068
143	0.6224343213
144	0.6221643039
145	0.6219140028
146	0.6216435317
147	0.6213159621
148	0.6209089265
149	0.6206318581
150	0.6202994456
151	0.620013062
152	0.6197737147
153	0.6195382062
154	0.6192964052
155	0.6190855617
156	0.6185590735
157	0.618326385
158	0.6180033487
159	0.6175444929
160	0.617338294
161	0.6170928177
162	0.6168228156
163	0.6165227423
164	0.6163704081
165	0.6161651323
166	0.6157234819
167	0.6156097428
168	0.6150225609
169	0.6146020648
170	0.6143353518
171	0.6140767103
172	0.6140066397
173	0.6136446345
174	0.6134966575
175	0.6133823398
176	0.6130795796
177	0.6124402958
178	0.6120852991
179	0.6118422688
180	0.6115074216
181	0.6112420343
182	0.6109829192
183	0.6108403703
184	0.6105068507
185	0.6101451113
186	0.6098821723
187	0.6096680682
188	0.6094063469
189	0.6090883765
190	0.6087419891
191	0.6083538619
192	0.608181679
193	0.6079873625
194	0.6078451551
195	0.6074972257
196	0.6072527684
197	0.6070371709
198	0.6069074582
199	0.6066916575
200	0.6064798769
201	0.6063042228
202	0.6059408482
203	0.6056458015
204	0.6054137934
205	0.6050792821
206	0.6047768116
207	0.6046562143
208	0.6042706107
209	0.6041283883
210	0.6038629407
211	0.6034077719
212	0.603172768
213	0.6028959876
214	0.6024097273
215	0.6020519127
216	0.6019169114
217	0.601588614
218	0.6015132741
219	0.6010872507
220	0.6008201895
221	0.6005480838
222	0.6003031792
223	0.6001223131
224	0.5999062984
225	0.5997568715
226	0.5995326926
227	0.5993774683
228	0.5992143435
229	0.5991434201
230	0.598777752
231	0.5984988787
232	0.5982442711
233	0.5980527451
234	0.5979476817
235	0.597733903
236	0.5974118046
237	0.5972090587
238	0.5970493727
239	0.5968241505
240	0.5965733461
241	0.5963574225
242	0.5961665001
243	0.5960537616
244	0.5959191793
245	0.5957784011
246	0.5955212678
247	0.5953010308
248	0.5951403129
249	0.5948262384
250	0.5946496739
251	0.5944621242
252	0.5942894275
253	0.594001909
254	0.5937666217
255	0.593696831
256	0.5933567212
257	0.5931785675
258	0.5927038877
259	0.5926059564
260	0.5923670244
261	0.5919743124
262	0.5916544538
263	0.5915153698
264	0.59117624
265	0.5909871607
266	0.590774914
267	0.5905048068
268	0.5903866868
269	0.5901907064
270	0.590043406
271	0.5898701233
272	0.5897180376
273	0.5893745618
274	0.5892147807
275	0.5890618325
276	0.5889378979
277	0.5887989295
278	0.5885980839
279	0.588309146
280	0.588231808
281	0.5879022938
282	0.5876634936
283	0.5873656067
284	0.5872238055
285	0.5869439231
286	0.5868406893
287	0.5867493962
288	0.5866301592
289	0.586423613
290	0.586320469
291	0.5861071593
292	0.5858058987
293	0.5855183668
294	0.5854130542
295	0.5852876859
296	0.5850954658
297	0.5849760091
298	0.5847180357
299	0.5846548377
