iter	Passed	Remaining
0	17	5294
1	29	4338
2	37	3726
3	49	3631
4	58	3445
5	64	3168
6	78	3281
7	85	3121
8	97	3156
9	106	3092
10	114	3015
11	126	3024
12	141	3126
13	151	3094
14	166	3163
15	180	3198
16	193	3219
17	201	3162
18	211	3135
19	230	3224
20	242	3215
21	252	3195
22	268	3228
23	282	3244
24	294	3239
25	304	3203
26	316	3198
27	326	3170
28	340	3180
29	353	3178
30	366	3180
31	378	3168
32	389	3152
33	406	3181
34	420	3185
35	441	3239
36	456	3241
37	478	3295
38	499	3341
39	518	3368
40	543	3430
41	563	3462
42	581	3475
43	597	3474
44	620	3515
45	642	3549
46	657	3537
47	678	3564
48	694	3558
49	708	3541
50	723	3530
51	743	3547
52	765	3565
53	777	3542
54	793	3533
55	814	3547
56	832	3549
57	847	3535
58	867	3544
59	885	3541
60	902	3537
61	922	3540
62	945	3555
63	963	3554
64	982	3550
65	1005	3563
66	1027	3572
67	1045	3567
68	1057	3540
69	1076	3536
70	1089	3514
71	1105	3501
72	1122	3490
73	1142	3489
74	1156	3470
75	1179	3476
76	1197	3467
77	1219	3470
78	1231	3446
79	1246	3427
80	1257	3399
81	1272	3384
82	1281	3351
83	1292	3324
84	1306	3303
85	1316	3275
86	1327	3250
87	1341	3231
88	1359	3223
89	1371	3200
90	1386	3183
91	1400	3167
92	1423	3168
93	1436	3148
94	1454	3139
95	1474	3132
96	1494	3127
97	1509	3111
98	1521	3089
99	1530	3061
100	1553	3060
101	1564	3037
102	1577	3016
103	1589	2995
104	1608	2986
105	1619	2964
106	1631	2942
107	1643	2922
108	1655	2901
109	1667	2880
110	1678	2858
111	1695	2846
112	1713	2835
113	1725	2815
114	1739	2798
115	1750	2777
116	1763	2757
117	1777	2742
118	1793	2728
119	1812	2719
120	1823	2697
121	1833	2674
122	1849	2660
123	1863	2644
124	1876	2627
125	1889	2608
126	1908	2600
127	1924	2586
128	1941	2574
129	1956	2558
130	1978	2552
131	1994	2538
132	2013	2528
133	2031	2516
134	2045	2499
135	2057	2481
136	2068	2460
137	2079	2441
138	2096	2428
139	2111	2413
140	2127	2398
141	2137	2377
142	2151	2361
143	2163	2344
144	2179	2330
145	2192	2312
146	2205	2295
147	2219	2279
148	2233	2263
149	2244	2244
150	2261	2231
151	2274	2214
152	2288	2199
153	2300	2181
154	2315	2166
155	2325	2146
156	2340	2131
157	2349	2111
158	2362	2094
159	2372	2075
160	2384	2058
161	2393	2039
162	2407	2023
163	2417	2004
164	2431	1989
165	2442	1971
166	2455	1955
167	2471	1942
168	2487	1927
169	2502	1913
170	2517	1899
171	2528	1881
172	2553	1874
173	2564	1856
174	2582	1844
175	2595	1828
176	2607	1812
177	2625	1799
178	2638	1783
179	2651	1767
180	2667	1753
181	2679	1736
182	2692	1721
183	2704	1704
184	2717	1689
185	2733	1675
186	2743	1657
187	2754	1641
188	2769	1626
189	2780	1609
190	2795	1595
191	2805	1577
192	2818	1562
193	2833	1548
194	2845	1532
195	2859	1517
196	2870	1500
197	2883	1485
198	2900	1472
199	2926	1463
200	2947	1451
201	2968	1440
202	2985	1426
203	3006	1414
204	3024	1401
205	3045	1389
206	3063	1376
207	3077	1361
208	3093	1347
209	3109	1332
210	3121	1316
211	3134	1301
212	3151	1287
213	3172	1275
214	3192	1262
215	3207	1247
216	3227	1234
217	3245	1220
218	3264	1207
219	3282	1193
220	3307	1182
221	3324	1167
222	3341	1153
223	3360	1140
224	3381	1127
225	3397	1112
226	3418	1099
227	3435	1084
228	3453	1070
229	3474	1057
230	3496	1044
231	3513	1029
232	3537	1017
233	3555	1002
234	3579	990
235	3597	975
236	3613	960
237	3629	945
238	3646	930
239	3656	914
240	3672	898
241	3684	882
242	3700	868
243	3717	853
244	3778	848
245	3820	838
246	3854	827
247	3895	816
248	3919	802
249	3944	788
250	3970	775
251	3997	761
252	4044	751
253	4079	738
254	4105	724
255	4140	711
256	4175	698
257	4192	682
258	4213	666
259	4233	651
260	4258	636
261	4285	621
262	4304	605
263	4327	590
264	4366	576
265	4399	562
266	4424	546
267	4448	531
268	4470	515
269	4504	500
270	4520	483
271	4541	467
272	4570	451
273	4590	435
274	4624	420
275	4654	404
276	4696	389
277	4724	373
278	4747	357
279	4772	340
280	4796	324
281	4821	307
282	4850	291
283	4876	274
284	4893	257
285	4904	240
286	4931	223
287	4955	206
288	4987	189
289	5003	172
290	5024	155
291	5041	138
292	5062	120
293	5083	103
294	5110	86
295	5132	69
296	5160	52
297	5188	34
298	5216	17
299	5236	0
